"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Japan","2021","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2022","1936000","1,2,3"
"Japan","2021","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2022","9077000","1,2,3"
"Japan","2021","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2022","1876000","1,2,3"
"Japan","2021","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2022","1846000","1,2,3"
"Japan","2021","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2022","1800000","1,2,3"
"Japan","2021","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2022","1794000","1,2,3"
"Japan","2021","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2022","1400000","1,2,3"
"Japan","2021","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2022","7864000","1,2,3"
"Japan","2021","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2022","1723000","1,2,3"
"Japan","2021","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2022","1613000","1,2,3"
"Japan","2021","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2022","1571000","1,2,3"
"Japan","2021","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2022","1518000","1,2,3"
"Japan","2021","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2022","1486000","1,2,3"
"Japan","2021","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2022","7393000","1,2,3"
"Japan","2021","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2022","1492000","1,2,3"
"Japan","2021","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2022","1516000","1,2,3"
"Japan","2021","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2022","1471000","1,2,3"
"Japan","2021","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2022","1426000","1,2,3"
"Japan","2021","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2022","1494000","1,2,3"
"Japan","2021","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2022","7938000","1,2,3"
"Japan","2021","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2022","1535000","1,2,3"
"Japan","2021","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2022","1529000","1,2,3"
"Japan","2021","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2022","1615000","1,2,3"
"Japan","2021","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2022","1696000","1,2,3"
"Japan","2021","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2022","1784000","1,2,3"
"Japan","2021","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2022","9670000","1,2,3"
"Japan","2021","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2022","1900000","1,2,3"
"Japan","2021","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2022","2065000","1,2,3"
"Japan","2021","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2022","2024000","1,2,3"
"Japan","2021","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2022","1899000","1,2,3"
"Japan","2021","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2022","1167000","1,2,3"
"Japan","2021","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2022","6714000","1,2,3"
"Japan","2021","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2022","1233000","1,2,3"
"Japan","2021","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2022","1484000","1,2,3"
"Japan","2021","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2022","1409000","1,2,3"
"Japan","2021","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2022","1420000","1,2,3"
"Japan","2021","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2022","1346000","1,2,3"
"Japan","2021","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2022","5494000","1,2,3"
"Japan","2021","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2022","1188000","1,2,3"
"Japan","2021","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2022","998000","1,2,3"
"Japan","2021","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2022","1024000","1,2,3"
"Japan","2021","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2022","1005000","1,2,3"
"Japan","2021","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2022","955000","1,2,3"
"Japan","2021","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2022","3851000","1,2,3"
"Japan","2021","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2022","855000","1,2,3"
"Japan","2021","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2022","753000","1,2,3"
"Japan","2021","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2022","694000","1,2,3"
"Japan","2021","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2022","615000","1,2,3"
"Japan","2021","Total","Both Sexes","90","Estimate - de jure","Final figure, complete","2022","532000","1,2,3"
"Japan","2021","Total","Both Sexes","90 - 94","Estimate - de jure","Final figure, complete","2022","1886000","1,2,3"
"Japan","2021","Total","Both Sexes","91","Estimate - de jure","Final figure, complete","2022","445000","1,2,3"
"Japan","2021","Total","Both Sexes","92","Estimate - de jure","Final figure, complete","2022","378000","1,2,3"
"Japan","2021","Total","Both Sexes","93","Estimate - de jure","Final figure, complete","2022","313000","1,2,3"
"Japan","2021","Total","Both Sexes","94","Estimate - de jure","Final figure, complete","2022","236000","1,2,3"
"Japan","2021","Total","Both Sexes","95","Estimate - de jure","Final figure, complete","2022","186000","1,2,3"
"Japan","2021","Total","Both Sexes","95 - 99","Estimate - de jure","Final figure, complete","2022","536000","1,2,3"
"Japan","2021","Total","Both Sexes","96","Estimate - de jure","Final figure, complete","2022","137000","1,2,3"
"Japan","2021","Total","Both Sexes","97","Estimate - de jure","Final figure, complete","2022","97000","1,2,3"
"Japan","2021","Total","Both Sexes","98","Estimate - de jure","Final figure, complete","2022","69000","1,2,3"
"Japan","2021","Total","Both Sexes","99","Estimate - de jure","Final figure, complete","2022","48000","1,2,3"
"Japan","2021","Total","Both Sexes","100 +","Estimate - de jure","Final figure, complete","2022","85000","1,2,3"
"Japan","2021","Total","Both Sexes","100 +","Estimate - de jure","Final figure, complete","2022","86000","1,2,3"
"United States of America","2021","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2022","331893745","4,5"
"United States of America","2021","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2022","3564493","4,5"
"United States of America","2021","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2022","18827338","4,5"
"United States of America","2021","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2022","3702936","4,5"
"United States of America","2021","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2022","15262845","4,5"
"United States of America","2021","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2022","3767428","4,5"
"United States of America","2021","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2022","3856743","4,5"
"United States of America","2021","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2022","3935738","4,5"
"United States of America","2021","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2022","4040153","4,5"
"United States of America","2021","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2022","20291548","4,5"
"United States of America","2021","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2022","4076629","4,5"
"United States of America","2021","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2022","4064596","4,5"
"United States of America","2021","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2022","4051555","4,5"
"United States of America","2021","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2022","4058615","4,5"
"United States of America","2021","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2022","4103489","4,5"
